I,f0,Ql,Qi,Qc,phi,delay,npoints
-0.39000000000000007,5443272196.831119,116.34472254128599,340.51198363891086,176.72862693896627,-0.3864727052351844,,901
-0.38,5440417495.9360285,113.15150815178455,326.60882794791337,173.13194737612994,-0.28166818758769174,,901
-0.37,5442654181.869722,117.09051677313234,320.8250530465636,184.3848958655352,-0.4059534668311511,,901
-0.36,5441065487.889878,111.96521659234132,314.31391017849575,173.9187162883121,-0.3431002541744862,,901
-0.35000000000000003,5441905995.687218,116.06633894231805,323.86917524489047,180.89411162901015,-0.3883873301020778,,901
-0.34,5438077299.043476,117.29900199776237,336.4445821018242,180.0840048398801,-0.25228971618725576,,901
-0.33,5438270230.762485,115.78464893144611,334.51226562661975,177.07588014739912,-0.2795089312491574,,901
-0.31999999999999995,5440377962.868596,113.43904462115309,322.3856829322522,175.02614144441125,-0.36257349630748326,,901
-0.30999999999999994,5439145761.109036,115.75709702979444,334.45966093239707,177.02617990498513,-0.31822627772367024,,901
-0.29999999999999993,5437736545.93734,116.42403459373836,333.52455458076,178.85850426656216,-0.2738769331356288,,901
-0.29000000000000015,5439299646.790117,112.37204013505804,304.6130569676928,178.05768626909088,-0.32137789477038314,,901
-0.2800000000000001,5438581245.628115,115.86717406246724,324.75291782031707,180.13772591393874,-0.3323617410379421,,901
-0.2700000000000001,5438915159.9034395,112.8517849881267,307.45274985192094,178.2960924401492,-0.3852768985287557,,901
-0.26000000000000006,5436865231.029031,120.43249877808887,348.6220215110659,183.99364123644204,-0.33814565013423403,,901
-0.25,5436539339.760494,118.05632294353516,340.15411785007944,180.80928900883487,-0.34191143524422435,,901
-0.24,5436038042.820912,113.97738199009643,328.38635977969284,174.56646617510907,-0.33016493329614216,,901
-0.22999999999999998,5436949341.173936,114.11188445865082,319.8358650845947,177.40796756517383,-0.37300504227059633,,901
-0.22000000000000003,5436238268.632948,115.10707525849914,327.90609113585606,177.37070331118704,-0.37792890758663844,,901
